詞	詞頻	注音	分類
模擬分析	18	ㄇㄛˊ ㄋㄧˇ ㄈㄣ ㄒㄧ	工業工程
水準	14	ㄕㄨㄟˇ ㄓㄨㄣˇ	工業工程
決策	14	ㄐㄩㄝˊ ㄘㄜˋ	工業工程
流程	19	ㄌㄧㄡˊ ㄔㄥˊ	工業工程
流程型	11	ㄌㄧㄡˊ ㄔㄥˊ ㄒㄧㄥˊ	工業工程
物料	13	ㄨˋ ㄌㄧㄠˋ	工業工程
物流	13	ㄨˋ ㄌㄧㄡˊ	工業工程
瓶頸分析	18	ㄆㄧㄥˊ ㄐㄧㄥˇ ㄈㄣ ㄒㄧ	工業工程
生產	17	ㄕㄥ ㄔㄢˇ	工業工程
生產線	13	ㄕㄥ ㄔㄢˇ ㄒㄧㄢˋ	工業工程
產能	12	ㄔㄢˇ ㄋㄥˊ	工業工程
產能分析	18	ㄔㄢˇ ㄋㄥˊ ㄈㄣ ㄒㄧ	工業工程
管制	13	ㄍㄨㄢˇ ㄓˋ	工業工程
系統	16	ㄒㄧˋ ㄊㄨㄥˇ	工業工程
系統分析	11	ㄒㄧˋ ㄊㄨㄥˇ ㄈㄣ ㄒㄧ	工業工程
統計	14	ㄊㄨㄥˇ ㄐㄧˋ	工業工程
維修	14	ㄨㄟˊ ㄒㄧㄡ	工業工程
網路	15	ㄨㄤˇ ㄌㄨˋ	工業工程
績效評估	18	ㄐㄧ ㄒㄧㄠˋ ㄆㄧㄥˊ ㄍㄨ	工業工程
能力	14	ㄋㄥˊ ㄌㄧˋ	工業工程
蒙地卡羅	10	ㄇㄥˊ ㄉㄧˋ ㄎㄚˇ ㄌㄨㄛˊ	工業工程
製程	12	ㄓˋ ㄔㄥˊ	工業工程
製造	14	ㄓˋ ㄗㄠˋ	工業工程
規劃	16	ㄍㄨㄟ ㄏㄨㄚˋ	工業工程
訂單	13	ㄉㄧㄥˋ ㄉㄢ	工業工程
設備	14	ㄕㄜˋ ㄅㄟˋ	工業工程
設計	17	ㄕㄜˋ ㄐㄧˋ	工業工程
變異數	11	ㄅㄧㄢˋ ㄧˋ ㄕㄨˋ	工業工程
過程	15	ㄍㄨㄛˋ ㄔㄥˊ	工業工程
重複	13	ㄔㄨㄥˊ ㄈㄨˋ	工業工程
量具	12	ㄌㄧㄤˋ ㄐㄩˋ	工業工程
量測	11	ㄌㄧㄤˊ ㄘㄜˋ	工業工程
離散	10	ㄌㄧˊ ㄙㄢˋ	工業工程
非線性	13	ㄈㄟ ㄒㄧㄢˋ ㄒㄧㄥˋ	工業工程
預定	13	ㄩˋ ㄉㄧㄥˋ	工業工程
風險評估	18	ㄈㄥ ㄒㄧㄢˇ ㄆㄧㄥˊ ㄍㄨ	工業工程
馬可夫	10	ㄇㄚˇ ㄎㄜˇ ㄈㄨ	工業工程
