詞	詞頻	注音	分類
鄭成功	50	ㄓㄥˋ ㄔㄥˊ ㄍㄨㄥ	人名-歷史
鄭經	14	ㄓㄥˋ ㄐㄧㄥ	人名-歷史
鄭芝龍	14	ㄓㄥˋ ㄓ ㄌㄨㄥˊ	人名-歷史
釋迦	56	ㄕˋ ㄐㄧㄚ	人名-歷史
釋迦牟尼	55	ㄕˋ ㄐㄧㄚ ㄇㄡˊ ㄋㄧˊ	人名-歷史
關羽	18	ㄍㄨㄢ ㄩˇ	人名-歷史
陶淵明	14	ㄊㄠˊ ㄩㄢ ㄇㄧㄥˊ	人名-歷史
雍正	13	ㄩㄥ ㄓㄥˋ	人名-歷史
霍布斯	18	ㄏㄨㄛˋ ㄅㄨˋ ㄙ	人名-歷史
霍金	11	ㄏㄨㄛˋ ㄐㄧㄣ	人名-歷史
韋伯	19	ㄨㄟˊ ㄅㄛˊ	人名-歷史
韓信	18	ㄏㄢˊ ㄒㄧㄣˋ	人名-歷史
韓愈	43	ㄏㄢˊ ㄩˋ	人名-歷史
韓非	19	ㄏㄢˊ ㄈㄟ	人名-歷史
韓非子	18	ㄏㄢˊ ㄈㄟ ㄗˇ	人名-歷史
項羽	20	ㄒㄧㄤˋ ㄩˇ	人名-歷史
顏回	12	ㄧㄢˊ ㄏㄨㄟˊ	人名-歷史
顏淵	20	ㄧㄢˊ ㄩㄢ	人名-歷史
馮紐曼	11	ㄈㄥˊ ㄋㄧㄡˇ ㄇㄢˋ	人名-歷史
魯班	20	ㄌㄨˇ ㄅㄢ	人名-歷史
魯迅	56	ㄌㄨˇ ㄒㄩㄣˋ	人名-歷史
黃帝	18	ㄏㄨㄤˊ ㄉㄧˋ	人名-歷史
黃興	14	ㄏㄨㄤˊ ㄒㄧㄥ	人名-歷史
黑澤明	24	ㄏㄟ ㄗㄜˊ ㄇㄧㄥˊ	人名-歷史
齊桓公	14	ㄑㄧˊ ㄏㄨㄢˊ ㄍㄨㄥ	人名-歷史
